;date;Italy;US;Spain;Germany;Korea, South;Italy-fP;US-fP;Spain-fP;Germany-fP;Korea, South-fP
97;2020-06-02;233515;1837374;239932;183879;11590;297182.06933451374;1921482.1907483358;184351.05072626166;134307.3493966921;12757.985517858142
98;2020-06-03;233836;1857332;240326;184121;11629;301093.00953420816;1948567.2792514677;196402.70091622882;142451.03155124915;12908.324712632982
99;2020-06-04;234013;1878683;240660;184472;11668;304504.49700791057;1976034.00433088;208654.39237465675;150756.20917848777;13055.266897224661
100;2020-06-05;234531;1903907;240978;184924;11719;307412.0902343537;2003887.7910736739;221027.58949456934;159181.95145661323;13198.609558213308
101;2020-06-06;234801;1926639;241310;185450;11776;309815.20457987516;2032134.1272134017;233437.0243544756;167682.96795450815;13338.15264915156
102;2020-06-07;234998;1944370;241550;185750;11814;311716.89802209206;2060778.5680725349;245792.17224971895;176210.09969319106;13473.699131687865
103;2020-06-08;235278;1961785;241717;186109;11852;313123.6209643878;2089826.7404222877;257998.9925185414;184710.94259960295;13605.055370564278
104;2020-06-09;235561;1979912;241966;186506;11902;314044.9215106336;2119284.345559457;269961.8778195163;193130.6112588103;13732.031898620158
105;2020-06-10;235763;2000706;242280;186522;11947;314493.1313479315;2149157.1618217486;281585.724199966;201412.60896976144;13854.44402860956
106;2020-06-11;236142;2023656;242707;186691;12003;314483.03274260636;2179451.0467042075;292778.0372435941;209499.78790830576;13972.112271604603
107;2020-06-12;236305;2048986;243209;187226;12051;314031.5202586678;2210171.938695532;303450.978876315;217335.36411921165;14084.862859898125
108;2020-06-13;236651;2074542;243605;187267;12085;313157.2623349666;2241325.858920433;313523.2584535511;224863.95448434516;14192.52852173872
109;2020-06-14;236989;2094366;243928;187518;12121;311880.3713183388;2272918.9126502215;322921.7956783327;232032.59501077814;14294.948944318881
110;2020-06-15;237290;2114026;244109;187682;12155;310222.089652451;2304957.2907261727;331583.08187161695;238791.70793787422;14391.97106418386
111;2020-06-16;237500;2137731;244328;188252;12198;308204.489964728;2337447.270927463;339454.19330648653;245095.9799765808;14483.449753939796
